lon,lat,depth_m,timestamp
1.870270,45.798080,20.20,2009-04-22T12:00:00+00:00
1.870340,45.785100,7.10,2009-04-22T12:00:00+00:00
1.870290,45.789470,19.40,2009-04-22T12:00:00+00:00
1.870250,45.785250,5.90,2009-04-22T12:00:00+00:00
1.870290,45.811760,9.70,2009-04-22T12:00:00+00:00
1.870300,45.794440,17.70,2009-04-22T12:00:00+00:00
1.870310,45.780250,8.80,2009-04-22T12:00:00+00:00
1.870310,45.781620,11.20,2009-04-22T12:00:00+00:00
1.870320,45.777970,2.00,2009-04-22T12:00:00+00:00
1.870320,45.778320,2.90,2009-04-22T12:00:00+00:00
1.870320,45.795240,17.00,2009-04-22T12:00:00+00:00
1.870290,45.785170,6.30,2009-04-22T12:00:00+00:00
1.869830,45.798220,11.40,2009-04-22T12:00:00+00:00
1.869890,45.789380,4.80,2009-04-22T12:00:00+00:00
1.869800,45.791140,19.60,2009-04-22T12:00:00+00:00
1.869820,45.782000,11.10,2009-04-22T12:00:00+00:00
1.869820,45.789310,3.20,2009-04-22T12:00:00+00:00
1.869820,45.789390,6.50,2009-04-22T12:00:00+00:00
1.869820,45.795030,14.90,2009-04-22T12:00:00+00:00
1.869820,45.810620,5.50,2009-04-22T12:00:00+00:00
1.869790,45.781230,10.80,2009-04-22T12:00:00+00:00
1.869830,45.783360,12.10,2009-04-22T12:00:00+00:00
1.869780,45.810840,5.30,2009-04-22T12:00:00+00:00
1.869830,45.810910,5.80,2009-04-22T12:00:00+00:00
1.869830,45.811420,8.70,2009-04-22T12:00:00+00:00
1.869840,45.792620,18.90,2009-04-22T12:00:00+00:00
1.869860,45.777740,2.20,2009-04-22T12:00:00+00:00
1.869860,45.780400,10.60,2009-04-22T12:00:00+00:00
1.869880,45.781290,11.20,2009-04-22T12:00:00+00:00
1.870080,45.786050,4.30,2009-04-22T12:00:00+00:00
1.869830,45.778660,6.10,2009-04-22T12:00:00+00:00
1.869720,45.811380,8.00,2009-04-22T12:00:00+00:00
1.869680,45.791110,19.10,2009-04-22T12:00:00+00:00
1.869690,45.789370,5.80,2009-04-22T12:00:00+00:00
1.869700,45.795250,14.50,2009-04-22T12:00:00+00:00
1.869710,45.781160,10.60,2009-04-22T12:00:00+00:00
1.869710,45.783380,12.00,2009-04-22T12:00:00+00:00
1.869710,45.789180,1.40,2009-04-22T12:00:00+00:00
1.869710,45.810660,3.80,2009-04-22T12:00:00+00:00
1.869790,45.795080,14.80,2009-04-22T12:00:00+00:00
1.869720,45.810750,4.60,2009-04-22T12:00:00+00:00
1.869890,45.810990,7.40,2009-04-22T12:00:00+00:00
1.869730,45.795160,14.50,2009-04-22T12:00:00+00:00
1.869740,45.782070,11.10,2009-04-22T12:00:00+00:00
1.869750,45.792560,18.80,2009-04-22T12:00:00+00:00
1.869760,45.780450,10.10,2009-04-22T12:00:00+00:00
1.869770,45.777690,2.10,2009-04-22T12:00:00+00:00
1.869770,45.789240,2.20,2009-04-22T12:00:00+00:00
1.869780,45.795060,14.60,2009-04-22T12:00:00+00:00
1.869720,45.798260,7.20,2009-04-22T12:00:00+00:00
1.870060,45.785890,6.60,2009-04-22T12:00:00+00:00
1.869880,45.794950,14.60,2009-04-22T12:00:00+00:00
1.870000,45.811160,9.50,2009-04-22T12:00:00+00:00
1.870010,45.778540,5.40,2009-04-22T12:00:00+00:00
1.870010,45.791220,20.00,2009-04-22T12:00:00+00:00
1.870040,45.794720,15.80,2009-04-22T12:00:00+00:00
1.870040,45.810520,6.70,2009-04-22T12:00:00+00:00
1.870050,45.777830,2.40,2009-04-22T12:00:00+00:00
1.870000,45.792760,20.50,2009-04-22T12:00:00+00:00
1.870060,45.780330,10.10,2009-04-22T12:00:00+00:00
1.870000,45.789530,12.70,2009-04-22T12:00:00+00:00
1.870060,45.785980,5.80,2009-04-22T12:00:00+00:00
1.870060,45.798140,16.20,2009-04-22T12:00:00+00:00
1.870060,45.811240,10.30,2009-04-22T12:00:00+00:00
1.870070,45.781400,11.40,2009-04-22T12:00:00+00:00
1.870070,45.781810,11.40,2009-04-22T12:00:00+00:00
1.870070,45.811500,10.40,2009-04-22T12:00:00+00:00
1.870400,45.789480,18.80,2009-04-22T12:00:00+00:00
1.870050,45.789440,13.90,2009-04-22T12:00:00+00:00
1.869950,45.798190,14.30,2009-04-22T12:00:00+00:00
1.869900,45.781940,11.20,2009-04-22T12:00:00+00:00
1.869900,45.791180,19.80,2009-04-22T12:00:00+00:00
1.869900,45.795090,15.20,2009-04-22T12:00:00+00:00
1.869920,45.778600,5.90,2009-04-22T12:00:00+00:00
1.869920,45.792700,19.50,2009-04-22T12:00:00+00:00
1.869930,45.789410,9.80,2009-04-22T12:00:00+00:00
1.869930,45.794880,15.10,2009-04-22T12:00:00+00:00
1.870000,45.795120,16.00,2009-04-22T12:00:00+00:00
1.869940,45.811460,10.10,2009-04-22T12:00:00+00:00
1.870080,45.785810,7.10,2009-04-22T12:00:00+00:00
1.869950,45.811070,8.60,2009-04-22T12:00:00+00:00
1.869960,45.777790,2.40,2009-04-22T12:00:00+00:00
